iter	Logloss
0	0.6712559592
1	0.6510867861
2	0.6316965457
3	0.6123503154
4	0.595370928
5	0.57977273
6	0.5658913709
7	0.5530309645
8	0.5393837914
9	0.526976616
10	0.5157531304
11	0.504924717
12	0.4945864099
13	0.4851879322
14	0.4763820064
15	0.4682529332
16	0.4616258239
17	0.45492917
18	0.448793245
19	0.4422312939
20	0.4368382216
21	0.4314739644
22	0.4264443867
23	0.4219951032
24	0.4176416611
25	0.4135758396
26	0.410271694
27	0.4068778349
28	0.4035637703
29	0.4001898713
30	0.3977031895
31	0.3950696415
32	0.3922096065
33	0.3895845446
34	0.387584334
35	0.3855125195
36	0.3836065364
37	0.3815715417
38	0.3797960046
39	0.3781631022
40	0.3763196702
41	0.3746145608
42	0.3730998375
43	0.3718303607
44	0.3707814307
45	0.369522903
46	0.3684032927
47	0.3671376539
48	0.3663694659
49	0.3654913104
50	0.3646811666
51	0.3639053923
52	0.363059691
53	0.3622491008
54	0.3614947599
55	0.3607723958
56	0.3600360362
57	0.3594716029
58	0.35897059
59	0.3582273055
60	0.3575953254
61	0.35701021
62	0.3565857797
63	0.355904643
64	0.3554273782
65	0.3548250052
66	0.3543971069
67	0.3538921498
68	0.3534717954
69	0.3530387862
70	0.3526976385
71	0.3524583878
72	0.352167278
73	0.3517399817
74	0.3513352658
75	0.3511559149
76	0.3508190405
77	0.3505162553
78	0.3501907202
79	0.3498030731
80	0.3495663591
81	0.3493973237
82	0.3491023875
83	0.3489284495
84	0.3487420698
85	0.3485083614
86	0.3482739032
87	0.348127103
88	0.3478946141
89	0.3476079709
90	0.3475734806
91	0.3473771116
92	0.3471479768
93	0.3468953764
94	0.3466645365
95	0.3464698628
96	0.3462080635
97	0.3460203203
98	0.3458234533
99	0.3456746383
100	0.3454956868
101	0.3453705815
102	0.3451267081
103	0.3450656039
104	0.34481041
105	0.344664143
106	0.3444896932
107	0.34434467
108	0.3441706555
109	0.3440740995
110	0.3438391452
111	0.3436604864
112	0.3435360588
113	0.3433991807
114	0.3431829326
115	0.3431017677
116	0.3429695166
117	0.3428670371
118	0.3427538925
119	0.3425146629
120	0.3423205077
121	0.3421665614
122	0.3420336969
123	0.3419040181
124	0.3417769334
125	0.3416056926
126	0.3415113981
127	0.3414472883
128	0.341321645
129	0.3411733269
130	0.3410153023
131	0.3408468203
132	0.3406058189
133	0.3404994945
134	0.3403786824
135	0.340348935
136	0.340348102
137	0.3401963811
138	0.3400255919
139	0.339855305
140	0.3396947371
141	0.3395824446
142	0.3394756808
143	0.3393454999
144	0.3392134974
145	0.3390751787
146	0.3389937325
147	0.3388760648
148	0.3388084783
149	0.3387111279
150	0.3385618311
151	0.3384565062
152	0.338259801
153	0.3382260163
154	0.3380131511
155	0.3378107589
156	0.3376536778
157	0.3375300633
158	0.3375012789
159	0.3373958243
160	0.3372660816
161	0.3371670564
162	0.3371342554
163	0.3370086297
164	0.3369511618
165	0.3368275695
166	0.3366461478
167	0.3365702667
168	0.3364003744
169	0.3362985166
170	0.336257836
171	0.3361636638
172	0.3360508411
173	0.3358558519
174	0.33575296
175	0.3355707294
176	0.3354051327
177	0.3352789189
178	0.3351788666
179	0.3350954186
180	0.3349847098
181	0.3348102798
182	0.3346078441
183	0.3345866493
184	0.3344888225
185	0.3343441978
186	0.3342560689
187	0.3342094794
188	0.3341251589
189	0.3340618047
190	0.333965879
191	0.3339255967
192	0.3338438762
193	0.3337491617
194	0.3336166636
195	0.3334337012
196	0.3333552542
197	0.3332198769
198	0.3331471027
199	0.3330872202
200	0.333039785
201	0.3328511855
202	0.3327458672
203	0.332651093
204	0.3325589035
205	0.3325079856
206	0.3324162528
207	0.3324058223
208	0.332286014
209	0.3322625057
210	0.3321231277
211	0.3319719935
212	0.3319168629
213	0.3318687926
214	0.3317930375
215	0.3317158762
216	0.3315272263
217	0.3314736704
218	0.3314091239
219	0.3313536945
220	0.3313090825
221	0.3312227194
222	0.3311041057
223	0.3309956469
224	0.3309272031
