iter	Passed	Remaining
0	3	1564
1	7	1429
2	11	1535
3	15	1485
4	18	1464
5	22	1461
6	25	1439
7	28	1401
8	31	1389
9	35	1400
10	40	1428
11	43	1416
12	47	1403
13	51	1411
14	54	1410
15	58	1401
16	61	1390
17	65	1381
18	68	1371
19	72	1374
20	76	1372
21	79	1364
22	82	1352
23	86	1348
24	90	1360
25	94	1353
26	98	1357
27	102	1356
28	106	1359
29	109	1356
30	114	1359
31	117	1354
32	121	1348
33	125	1346
34	129	1351
35	133	1349
36	137	1344
37	140	1336
38	143	1328
39	147	1328
40	150	1319
41	154	1316
42	157	1310
43	161	1307
44	164	1300
45	168	1296
46	172	1292
47	175	1286
48	178	1278
49	181	1270
50	184	1265
51	188	1262
52	192	1258
53	195	1254
54	199	1250
55	202	1244
56	205	1239
57	209	1234
58	213	1233
59	217	1232
60	220	1226
61	224	1223
62	228	1221
63	231	1216
64	235	1213
65	238	1209
66	242	1204
67	245	1200
68	248	1193
69	252	1190
70	254	1178
71	257	1174
72	261	1171
73	264	1165
74	268	1162
75	271	1158
76	275	1154
77	278	1149
78	282	1147
79	285	1143
80	289	1139
81	292	1135
82	296	1131
83	299	1127
84	303	1123
85	306	1119
86	310	1115
87	314	1114
88	317	1110
89	322	1112
90	326	1109
91	331	1108
92	334	1105
93	338	1101
94	342	1098
95	345	1095
96	349	1090
97	353	1088
98	356	1083
99	359	1078
100	363	1075
101	367	1072
102	370	1068
103	373	1064
104	378	1062
105	381	1057
106	385	1054
107	388	1050
108	392	1047
109	396	1044
110	399	1040
111	403	1038
112	407	1034
113	410	1030
114	414	1028
115	417	1021
116	420	1017
117	424	1014
118	428	1011
119	431	1007
120	436	1005
121	439	1001
122	443	997
123	446	993
124	450	990
125	453	986
126	457	983
127	461	980
128	465	977
129	468	973
130	472	969
131	475	965
132	478	960
133	481	956
134	485	953
135	489	950
136	493	948
137	497	945
138	501	941
139	504	937
140	508	934
141	512	930
142	515	926
143	519	923
144	522	919
145	526	915
146	529	911
147	533	907
148	535	902
149	539	898
150	542	895
151	546	891
152	550	888
153	553	884
154	556	879
155	560	876
156	564	873
157	567	869
158	571	865
159	575	862
160	578	859
161	582	855
162	585	851
163	589	848
164	592	844
165	596	840
166	599	837
167	603	833
168	607	829
169	610	826
170	613	822
171	617	818
172	620	814
173	623	810
174	627	806
175	630	802
176	634	799
177	638	796
178	642	793
179	646	790
180	650	786
181	654	783
182	657	780
183	661	776
184	665	773
185	668	769
186	672	766
187	676	762
188	679	758
189	683	755
190	687	751
191	690	748
192	694	745
193	698	741
194	701	737
195	706	734
196	710	731
197	713	727
198	717	724
199	720	720
200	724	717
201	727	713
202	730	709
203	734	705
204	736	700
205	740	697
206	744	693
207	747	690
208	751	686
209	754	682
210	758	679
211	761	675
212	764	671
213	768	667
214	772	664
215	775	660
216	779	656
217	782	652
218	784	648
219	788	645
220	792	641
221	795	638
222	799	634
223	803	631
224	806	627
225	809	623
226	812	619
227	816	615
228	819	611
229	824	609
230	827	605
231	831	601
232	835	598
233	838	595
234	843	591
235	846	588
236	850	585
237	854	581
238	858	578
239	861	574
240	865	571
241	869	567
242	873	564
243	877	560
244	881	557
245	885	554
246	888	550
247	892	546
248	895	543
249	899	539
250	902	535
251	906	532
252	910	528
253	914	525
254	917	521
255	921	518
256	925	515
257	930	512
258	934	508
259	938	505
260	941	501
261	946	498
262	949	494
263	953	491
264	957	487
265	959	483
266	963	479
267	966	476
268	970	472
269	973	468
270	977	465
271	980	461
272	984	457
273	988	454
274	991	450
275	995	447
276	998	443
277	1004	440
278	1008	437
279	1011	433
280	1016	430
281	1020	426
282	1023	423
283	1027	419
284	1030	415
285	1035	412
286	1038	408
287	1042	405
288	1046	401
289	1049	398
290	1053	394
291	1057	391
292	1060	387
293	1063	383
294	1067	379
295	1070	376
296	1074	372
297	1077	368
298	1081	365
299	1085	361
300	1089	358
301	1092	354
302	1096	351
303	1099	347
304	1104	343
305	1107	340
306	1111	336
307	1115	333
308	1119	329
309	1123	326
310	1127	322
311	1131	319
312	1134	315
313	1138	311
314	1141	308
315	1145	304
316	1148	300
317	1152	297
318	1156	293
319	1159	289
320	1163	286
321	1167	282
322	1171	279
323	1175	275
324	1178	271
325	1181	268
326	1185	264
327	1189	261
328	1192	257
329	1196	253
330	1200	250
331	1203	246
332	1206	242
333	1211	239
334	1215	235
335	1217	231
336	1221	228
337	1225	224
338	1229	221
339	1233	217
340	1237	214
341	1241	210
342	1244	206
343	1249	203
344	1254	199
345	1257	196
346	1261	192
347	1266	189
348	1270	185
349	1274	182
350	1278	178
351	1282	174
352	1286	171
353	1289	167
354	1293	164
355	1297	160
356	1301	156
357	1305	153
358	1309	149
359	1313	145
360	1317	142
361	1320	138
362	1325	135
363	1329	131
364	1333	127
365	1337	124
366	1341	120
367	1345	116
368	1349	113
369	1352	109
370	1356	106
371	1360	102
372	1364	98
373	1369	95
374	1372	91
375	1376	87
376	1380	84
377	1384	80
378	1387	76
379	1392	73
380	1396	69
381	1400	65
382	1403	62
383	1407	58
384	1411	54
385	1415	51
386	1419	47
387	1423	44
388	1427	40
389	1431	36
390	1436	33
391	1440	29
392	1444	25
393	1448	22
394	1452	18
395	1455	14
396	1459	11
397	1463	7
398	1467	3
